229,SGBAUG29V,IN0020210129,12950.76,10
230,SBISILVER,INF200KB1217,151.71,20
231,ABDL,INE552Z01027,654.3,20
232,TRENT,INE849A01020,4388.9,14.83
233,EBBETF0430,INF754K01KO2,1557.89,20
234,MFSL,INE180A01020,1692.6,20
235,FINCABLES,INE235A01022,767.45,20
236,URBANCO,INE0CAZ01013,144.27,20
237,PVRINOX,INE191H01014,1099.5,20
238,TATACHEM,INE092A01019,818.9,20
239,KAJARIACER,INE217B01036,1082.6,20
240,SILVERBEES,INF204KC1402,147.99,20
241,APLLTD,INE901L01018,899.45,20
242,CAPLIPOINT,INE475E01026,1920.5,20
243,GLOTTIS,INE0TQE01026,68.02,20
244,SGBNV29VII,IN0020210178,12889.77,10
245,MOMENTUM50,INF247L01DK8,54.52,6.19
246,POLYCAB,INE455K01017,7648.5,20
247,BSOFT,INE836A01035,388.8,20
248,JARO,INE00YJ01010,674.25,20
249,AJANTPHARM,INE031B01049,2510.7,20
250,PVTBANIETF,INF109KC18U7,28.77,20
251,ONESOURCE,INE013P01021,1672.4,20
252,ACI,INE128X01021,554,20
253,HONAUT,INE671A01010,34685,20
254,SIEMENS,INE003A01024,3216.3,20
255,HAL,INE066F01020,4716.6,20
256,HINDCOPPER,INE531E01026,327.15,20
257,TRIDENT,INE064C01022,28.59,20
258,SGBJUN29II,IN0020210061,12871.21,10
259,AUBANK,INE949L01017,919.3,20
260,MOREPENLAB,INE083A01026,44.83,20
261,MAZDOCK,INE249Z01020,2829.5,20
262,UPL,INE628A01036,753.5,20
263,SGBJUL27,IN0020190081,12702.03,10
264,MARKSANS,INE750C01026,193.07,20
265,SAREGAMA,INE979A01025,388.2,20
266,EUREKAFORB,INE0KCE01017,571.9,20
267,AVL,INE679V01027,539.6,20
268,AETHER,INE0BWX01014,895.55,20
269,POLICYBZR,INE417T01026,1843.9,20
270,CENTURYPLY,INE348B01021,770.55,20
271,HDFCLIFE,INE795G01014,762.2,9
272,NELCO,INE045B01015,851.75,20
273,ECLERX,INE738I01010,4595.7,20
274,HIKAL,INE475B01022,228.32,20
275,HDBFS,INE756I01012,743.9,20
276,APARINDS,INE372A01015,9231.5,20
277,TRITURBINE,INE152M01016,541.15,20
278,SOUTHBANK,INE683A01023,37.77,20
279,ALPHA,INF174KA1IA5,50.08,7.61
280,HOMEFIRST,INE481N01025,1187,20
281,JASH,INE039O01029,470.5,20
282,ALOKINDS,INE270A01029,17.17,20
283,PNGJL,INE953R01016,638.95,20
284,LTFOODS,INE818H01020,408.25,20
285,EPACK,INE0G5901015,269,20
286,JAIBALAJI,INE091G01026,72.06,20
287,GMMPFAUDLR,INE541A01023,1240.6,20
288,NAUKRI,INE663F01032,1365.4,20
289,AEROFLEX,INE024001021,183.13,20
290,ATHERENERG,INE0LEZ01016,697,20
291,SUMICHEM,INE258G01013,455.35,20
292,APLAPOLLO,INE702C01027,1721.2,20
293,GOODLUCK,INE127I01024,1176.2,20.95
294,KTKBANK,INE614B01018,175.14,20
295,ORIENTCEM,INE876N01018,179.84,20
296,RAYMOND,INE301A01014,509.1,20
297,POLYPLEX,INE633B01018,869.95,20
298,FEDFINA,INE007N01010,140.66,20
299,BOMDYEING,INE032A01023,149.5,20
300,GIPCL,INE162A01010,170.82,20
301,SGBJUL28IV,IN0020200146,12777.7,10
302,TRIVENI,INE256C01024,361.25,20
303,PSPPROJECT,INE488V01015,921.25,20
304,SGBOCT25,IN0020170059,12585,10
305,MASTEK,INE759A01021,2285.8,20
306,CARTRADE,INE290S01011,3097,22.15
307,LODHA,INE670K01029,1200.8,20
308,RADICO,INE944F01028,3368,20
309,PERSISTENT,INE262H01021,6350.5,20
310,RTNINDIA,INE834M01019,44.94,20
311,GALAXYSURF,INE600K01018,2109.4,20
312,SGBD29VIII,IN0020210228,13045.36,10
313,GODIGIT,INE03JT01014,354.7,20
314,BLUESTONE,INE304W01038,569.5,20
315,SMALLCAP,INF769K01LC3,45.4,6.97
316,NATCOPHARM,INE987B01026,869.3,20
317,BANDHANBNK,INE545U01014,151.22,20
318,SGBAUG28V,IN0020200161,12804.76,10
319,JSFB,INE953L01027,455.35,20
320,MGL,INE002S01010,1230.1,20
321,MAHABANK,INE457A01014,59.77,20
322,GODREJIND,INE233A01035,1048,20
323,FEDERALBNK,INE171A01029,244.93,20
324,LLOYDSENGG,INE093R01011,56.34,20.66
325,SILVER1,INF174KA1KU9,149.95,20
326,BFUTILITIE,INE243D01012,680.6,100
327,BHARTIHEXA,INE343G01021,1836.1,20
328,AIIL,INE206F01022,2705.7,20.27
329,HDFCSILVER,INF179KC1DI2,148.55,20
330,ALKYLAMINE,INE150B01039,1775.5,20
331,PETRONET,INE347G01014,274.35,20
332,PACEDIGITK,INE0S3G01027,225.11,20
333,ESCORTS,INE042A01014,3557.8,20
334,BORORENEW,INE666D01022,612.95,20
335,SETFNIF50,INF200KA1FS1,279.43,6
336,SGBN28VIII,IN0020200286,12802.64,10
337,LIQUIDBETF,INF0QA701854,1057.32,5
338,NOCIL,INE163A01018,169.07,20
339,CGPOWER,INE067A01029,721.25,20
340,PRAKASH,INE603A01013,138.2,20
341,FCL,INE045J01034,25.05,20.22
